document,true_category
"Stolen Matisse artworks recovered by police in Brazil Vote counting suspended in Zambia over alleged attacks on polling staff US missionary released following kidnap in Niger, Christian group says",Economics
Palestinians told to leave homes in village where Israeli settlers besieged houses Person fined after using foghorn to wake sleeping polar bear Romania shuts only nuclear plant as heat causes huge drop in Danube River level,Economics
Air India to test all pilots for banned substances Teens who fled Venezuela after deadly quakes caught in another disaster in Colombia Indian solar mission's new findings throw light on enduring Sun mysteries,Economics
"Putin can no longer claim victory in Ukraine, Nobel Peace Prize winner tells BBC Who could replace White House Press Secretary Karoline Leavitt? Vultures are disappearing in Nigeria - but the 'Vulture King' is fighting to reverse the trend",Economics
"Watch: What happens if Luigi Mangione pleads guilty? Video, 00:01:43Watch: What happens if Luigi Mangione pleads guilty? BBC Verify speaks to woman who filmed ICE agent pointing gun at her. Video, 00:02:09BBC Verify speaks to woman who filmed ICE agent pointing gun at her âJustifiedâ or âno business being thereâ? Tennessee munitions town loyal to Trump but divided on Iran. Video, 00:02:19âJustifiedâ or âno business being thereâ? Tennessee munitions town loyal to Trump but divided on Iran",Economics
"Why are 'human fridges' being sold in Japan? Video, 00:00:58Why are 'human fridges' being sold in Japan? Baby Shark boy set to make K-pop debut. Video, 00:01:03Baby Shark boy set to make K-pop debut Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",Economics
"'Unprecedented' rain in Japan kills eight people The storm cut power to more than 20,000 households and left 7,000 people stranded at Tokyo's Narita airport. Indian solar mission's new findings throw light on enduring Sun mysteries",Economics
Delhi's unusual challenge: Keeping monkeys and pigeons away from top badminton event Air India to test all pilots for banned substances Indian actor's video with endangered gibbon sparks investigation,Economics
Japan PM says Putin's visit to disputed islands 'absolutely unacceptable' Australian army whistleblower released on parole after more than two years in jail BTS star V reveals hearing loss battle during livestream,Economics
"South Korea's Incheon airport becomes world's busiest for global traffic Zhu Rongji, who helped turn China into a trading giant, dies at 97 New Zealand PM survives second leadership challenge ahead of election",Economics
"Baby Shark Boy set to make K-pop debut. Video, 00:01:03Baby Shark Boy set to make K-pop debut 'I lost $14,000 in a month': Investors hit by Korean stock market's wild swings Why are 'human fridges' being sold in Japan? Video, 00:00:58Why are 'human fridges' being sold in Japan?",Economics
Why Japanese firms are being so slow to use AI These seaside apartments were a ghost city - then police say scammers moved in How a 97-year-old escaped deadly Indian floods on a banana log raft,Economics
Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
"Sign in or create an account to watch, listen and join in Parliamentary investigation resumes into Farage hours after he wins Clacton by-election The Reform UK leader won the contest, which was boycotted by major political parties, but didn't attend the declaration.",Economics
Farage's by-election victory won't stop questions about finances West Midlands fire crews tackle 'hotspots' as residents return to destroyed homes Passengers describe 'panic and fear' on East Sussex train as cause of derailment investigated,Economics
NHS service admits data breach due to pager use Final day of heatwave for many before weekend cooldown Mother jailed for killing baby by burning her with a hairdryer,Economics
Man died after being 'trampled' by cattle on estate Brothers injured by 'exploding' steam room door Killer who hid wife's body refused prison release,Economics
"'Two out of four, baby' - Hunt wins 200m as she eyes historic quadruple 'She was just Gaynor from up the road' - villagers ready for emotional Bonnie Tyler goodbye Watch: 'Carnage' in Stourbridge as houses destroyed by fire. Video, 00:00:59Watch: 'Carnage' in Stourbridge as houses destroyed by fire",Economics
"Video shows scale of devastation in Stourbridge. Video, 00:00:30Video shows scale of devastation in Stourbridge Did the eclipse damage your eyes? Video, 00:01:10Did the eclipse damage your eyes? Why is Amanda Knox's upcoming Edinburgh Fringe comedy show causing controversy? Video, 00:01:11Why is Amanda Knox's upcoming Edinburgh Fringe comedy show causing controversy?",Economics
What do people in Clacton think of Farage's by-election win? I got an Â£89 refund â how to cancel and avoid unwanted subscriptions You got hold of eclipse glasses just in time - here's what to do with them now,Economics
"'I worked really hard and it paid off': Elation, nerves and proud parents as students get results 'Living in temporary accommodation has taken a huge toll on my family' West Midlands fire crews tackle 'hotspots' as residents return to destroyed homes",Economics
'The department has lost touch with farmers' - call for minister's resignation over cattle cull Mother jailed for killing baby by burning her with a hairdryer Couple banned from owning pets after 114 guinea pigs and 31 cats found in filthy home,Economics
Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
"I got an Â£89 refund â how to cancel and avoid unwanted subscriptions After the PM announced a crackdown on subscription traps, readers share how they got into and out of unwanted plans. US says dozens of countries helped China dodge Trump's tariffs",Economics
"Engine parts smashed Ryanair window that man's head was sucked out of, report says 'I lost $14,000 in a month': Investors hit by Korean stock market's wild swings Water bills set to rise for many after firms permitted extra funding",Economics
Harvey Nichols bought by owner of Sports Direct Flock boss admits surveillance firm took too long to act over police abuse UK economy grows but experts warn of challenging months ahead,Economics
Zero hours crackdown could cost firms up to Â£2.9bn a year Bumble divides users by ditching its signature 'women-first' chat rule Twitch users outraged as Amazon uses their content to train AI in opt-out feature,Economics
"Trump sued over Truth Social's $100,000 early access service Why Japanese firms are being so slow to use AI Tokenomics: Why making AI pay is tricky",Economics
"'I started in my 20s and made Â£8,000': Why women are often better investors than men 'You could smell someone' who worked at Raleigh Why airlines are warning over lithium-ion batteries",Economics
Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
"Is Â£173k government spent on influencers good value? 'I lost $14,000 in a month': Investors hit by Korean stock market's wild swings 'Government can do more to protect artists from AI' Video, 00:00:57'Government can do more to protect artists from AI'",Economics
"Bumble divides users by ditching its signature 'women-first' chat rule 'A robot helped our daughter walk for the first time' Video, 00:00:45'A robot helped our daughter walk for the first time' Flock boss admits surveillance firm took too long to act over police abuse",Economics
"A robot helped our 15-year-old daughter walk for the first time Twitch users outraged as Amazon uses their content to train AI in opt-out feature Amazon is using Twitch to train generative AI. Video, 00:00:59Amazon is using Twitch to train generative AI",Economics
'Online trolls who target me are bored and jealous' The emerging paradox of Northern Ireland's AI story Why Japanese firms are being so slow to use AI,Economics
Discord ordered to suspend livestreams in Brazil Spotify to add label for AI-generated artists and remove them from recommendations Phones banned in Edinburgh schools - but still no pouches to keep them in,Economics
"AI hacks gym to get its user a spot in pilates class. Video, 00:01:09AI hacks gym to get its user a spot in pilates class Tokenomics: Why making AI pay is tricky France bans unsolicited telemarketing calls",Economics
"AI agent hacks gym to get its user a spot in pilates class Wall Street giants hand Nvidia $500bn to fund boom in AI projects More than 10 firms pay up to $100,000 a month for fast access to Truth Social posts",Economics
"I was accused of using AI in my dissertation but I wrote it all myself Tourist boat drone crash sparks medical episode No evidence of data breach after Chinese-made component found in Navy drones, MoD says",Economics
Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
"'The department has lost touch with farmers' - call for minister's resignation over cattle cull The minister has previously said there was ""no reasonable alternative"" to the cattle being euthanised on site after the 51 cattle were culled following a court order. Indian solar mission's new findings throw light on enduring Sun mysteries",Economics
Romania shuts only nuclear plant as heat causes huge drop in Danube River level Temperatures soar to 38C as amber extreme heat warning in effect Cloudy skies lead to mixed fortunes for Scotland's eclipse hunters,Economics
"Vultures are disappearing in Nigeria - but the 'Vulture King' is fighting to reverse the trend Once-in-a-generation solar eclipse wows millions in UK and Europe Watch: Hydrogen car breaks land speed record at 406 mph. Video, 00:00:44Watch: Hydrogen car breaks land speed record at 406 mph",Economics
"Generations of fish 'wiped out' after pollution incident What time and where might you see the solar eclipse in Scotland Rare turtle's flight from Wales to Texas. Video, 00:00:53Rare turtle's flight from Wales to Texas",Economics
"Astronomy superfan, 11, shares tips for watching solar eclipse When and where in the West Country to see the solar eclipse Hidden moth population found after 70 years",Economics
'Squashed poo' a sign of water voles' success Brexit rules put strain on zoo's conservation work Vultures are disappearing in Nigeria - but the 'Vulture King' is fighting to reverse the trend,Economics
"The race to save thousands of animals. Video, 00:01:24The race to save thousands of animals Indian solar mission's new findings throw light on enduring Sun mysteries You got hold of eclipse glasses just in time - here's what to do with them now",Economics
Crowds reflect on watching 'incredible' eclipse Hundreds attend teenager's eclipse party Builder with own observatory captures solar eclipse,Economics
Romania shuts only nuclear plant as heat causes huge drop in Danube River level Disabled in a heatwave: 'We're talking about survival' World's oceans hit record-high July temperatures,Economics
"Hosepipe bans in force as drought declared - is your area affected? Wildfire damage could take hundreds of years to recover from, experts say Should we be scared of AI viruses? Audio, 27 minutesShould we be scared of AI viruses?",Economics
"Researchers have announced synthetic viruses designed by artificial intelligence. The state of our substrate: What is drought doing to our soil? Audio, 27 minutesThe state of our substrate: What is drought doing to our soil? The surprising science of how drought affects the health of our soils.",Economics
"Are we alone in the universe? Audio, 27 minutesAre we alone in the universe? What if the Goldilocks zone is for idiots? Testing testosterone testing. Audio, 27 minutesTesting testosterone testing",Economics
"Will the US army benefit from testing its male soldiers for testosterone levels? First dinosaur bone from Antarctica found in a drawer Fossil identified as first dinosaur ever found in Antarctica. Video, 00:00:59Fossil identified as first dinosaur ever found in Antarctica",Economics
"Simpler, older version of Stonehenge found three miles from famous site From blast off to splashdown: My days following Nasa's historic mission to the Moon The 40 minutes when the Artemis crew loses contact with the Earth",Economics
"How the UK's extreme heat is shifting the conversation about air-con The hidden cost of the night shift and how to sleep it off After record heat, could the Atlantic make Britain's weather even more extreme?",Economics
"Why cheap power could matter more than clean power in the push for net zero Higgs boson breakthrough was UK triumph, but British physics faces 'catastrophic' cuts Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",Economics
The Office's Lucy Davis 'overwhelmed' by kindness after cancer diagnosis The Office actress thanks well-wishers for their support after she revealed she had incurable cancer. Eurovision proposes new rules to tackle mass voting,Economics
'She was just Gaynor from up the road' - villagers ready for emotional Bonnie Tyler goodbye Stolen Matisse artworks recovered by police in Brazil Ski Sunday host Chemmy Alcott suffers collapsed lung after jumping into lake,Economics
"Eurovision Song Contest 2027 to be held in Burgas, Bulgaria Travis Kelce shares first details from his wedding to Taylor Swift: 'Best night of my life' Musician cancels Fringe show after theft of irreplaceable instruments",Economics
New indictment alleges Nick Reiner was lying in wait before killing parents Rob and Michele Reiner Acting pals Cumming and Henderson put 40-year friendship onto paper BTS star V reveals hearing loss battle during livestream,Economics
Nicholas Hoult joins Harry Potter TV show - see the cast so far Ayra Starr on her secret relationship and teasing Stevie Wonder See who's in the full Strictly Come Dancing 2026 line-up,Economics
Amanda Knox comedy show 'sincere' but 'just not very funny' I share my flat with a 6ft Terminator and 30 other props Memories of rock royalty in my garden in Knebworth,Economics
Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
Stunning photos capture July's Buck Moon over the UK Pictures show scale of drought across England as rivers dry up Buildings damaged after powerful earthquake hits south-west Japan,Economics
All the best looks from Paris Haute Couture Week 2026 Your pictures of Scotland: 7-14 August You got hold of eclipse glasses just in time - here's what to do with them now,Economics
Builder with own observatory captures solar eclipse Photos show rare partial solar eclipse When and where in the West Country to see the solar eclipse,Economics
"Park renaming to honour club's old stadium Drone captures devastating aftermath of Spokane wildfires. Video, 00:00:39Drone captures devastating aftermath of Spokane wildfires Photographer's mission for struggling seaside town",Economics
"Your weather photos of skies filled with drama In Pictures: Wing-walking, waterspouts and the Proms Big Picture: This week's images from the South",Economics
Photographers catch wildlife on show in summer heat 'Lawn mower racing is a window into people's lives' Your pictures of Scotland: 31 July - 7 August,Economics
Playful foxes photos result of 'luck and patience' Looking down on London's straw-coloured parks University NHS photo scheme to become documentary,Economics
"Big Picture: This week's images from the South In Pictures: Cute cubs, Buck Moon and Stonehenge Your summer pictures as August arrives",Economics
Your pictures of Scotland: 24 - 31 July Winners crowned in local pride photo contest Abbey Road's Beatles equipment in photo exhibition,Economics
Buck Moon lights up Devon and Cornwall skies Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
"Major oil slick washes up on Iran coast after Hormuz ship strike Experts tell BBC Verify pollution has spread from a ship attacked on 3 August and threatens vulnerable wildlife. BBC Verify speaks to woman who filmed ICE agent pointing gun at her. Video, 00:02:09BBC Verify speaks to woman who filmed ICE agent pointing gun at her",Economics
"White House makes misleading claim on US childhood vaccines. Video, 00:00:54White House makes misleading claim on US childhood vaccines From Stonehenge to the Serpentine - satellite images show impact of hot, dry summer âWe have nowhere to return toâ: How Russia is seizing homes in occupied Ukraine",Economics
"What is Iran's Pickaxe Mountain and why does Trump say he wants to bomb it? Image of supreme leader shared by Iranian media is AI-generated. Video, 00:00:54Image of supreme leader shared by Iranian media is AI-generated Tankers make sharp U-turns after Houthi shipping threat",Economics
"US strikes oil tanker with missiles as it enforces new Iran blockade Big fall in oil, gas and cargo ships taking US-backed Hormuz route after new strikes Are boats carrying migrants getting bigger? Video, 00:01:14Are boats carrying migrants getting bigger?",Economics
"Three days of strikes at 'Russian Amazon' Wildberries sites. Video, 00:00:57Three days of strikes at 'Russian Amazon' Wildberries sites Trump posts dozens of AI images in one day. Video, 00:01:08Trump posts dozens of AI images in one day Growing fears as RSF fighters advance on Sudan's el-Obeid. Video, 00:00:58Growing fears as RSF fighters advance on Sudan's el-Obeid",Economics
"India cockroach protests: Videos show officers firing 'pellet guns' Video, 00:02:01India cockroach protests: Videos show officers firing 'pellet guns' Russian ship defies sanctions to send military vehicles to Mali Iran school and nearby military base struck multiple times, satellite image reveals",Economics
"They were promised steady pay and ended up in a warzone. Video, 00:01:46They were promised steady pay and ended up in a warzone Photos leaked to BBC show faces of hundreds killed in Iran's brutal protest crackdown Satellite images reveal scale of Israeli demolitions as Lebanese villages destroyed",Economics
"Google withdraws new Earth AI tool after warnings over misinformation risks Tracking US warships by using AI to decode blurry images. Video, 00:01:24Tracking US warships by using AI to decode blurry images Why real-time tracking of the war in Iran just got harder. Video, 00:01:17Why real-time tracking of the war in Iran just got harder",Economics
"How to identify AI-generated videos online. Video, 00:01:13How to identify AI-generated videos online How does BBC Verify investigate graphic footage? Video, 00:01:37How does BBC Verify investigate graphic footage? Sunscreen doesn't cause cancer. Why do those claims keep spreading? Video, 00:03:02Sunscreen doesn't cause cancer. Why do those claims keep spreading?",Economics
"Misleading posts about Trump at World Cup final viewed by millions. Video, 00:01:42Misleading posts about Trump at World Cup final viewed by millions This picture of baby Haaland with Ronaldo is fake. Video, 00:01:00This picture of baby Haaland with Ronaldo is fake These Taylor Swift wedding pictures are not real. Video, 00:00:47These Taylor Swift wedding pictures are not real",Economics
"'They said it isn't real': Ebola rumours fuel attacks on health workers Before and after images show Spokane wildfire destruction. Video, 00:00:48Before and after images show Spokane wildfire destruction Do declassified files support Trump's election security claims?",Economics
"What we know about fatal ICE shooting in Maine. Video, 00:01:38What we know about fatal ICE shooting in Maine There's no evidence this Mitch McConnell rehab photo is AI. Video, 00:01:04There's no evidence this Mitch McConnell rehab photo is AI Is Mamdani's air con advice 'socialism'? Video, 00:00:51Is Mamdani's air con advice 'socialism'?",Economics
Car washes and vape shops can still sponsor skilled foreign workers despite visa changes Satellite images show impact of heatwaves and drought on UK landscape The serial candidates standing against Farage in the Clacton by-election,Economics
"Large rise in offenders sent back to prison, figures reveal Andy Burnham wants to fix social care - what are the options? The costs and challenges facing the 2026 World Cup. Video, 00:04:07The costs and challenges facing the 2026 World Cup",Economics
"Ros Atkins onâ¦the cost of the Iran war. Video, 00:02:30Ros Atkins onâ¦the cost of the Iran war Ros Atkins on... Trump's mixed messages on the war. Video, 00:02:04Ros Atkins on... Trump's mixed messages on the war Ros Atkins on...how has President Trump's message on war changed? Video, 00:00:56Ros Atkins on...how has President Trump's message on war changed?",Economics
"What do we know about the Clintons' links to Epstein? Video, 00:01:19What do we know about the Clintons' links to Epstein? Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",Economics
Spotify to add label for AI-generated artists and remove them from recommendations Rising singer Kamal on 'scary' moment he hit up Dave for debut album Campaigners call for Jared Leto's concerts to be cancelled after criminal sexual conduct claims,Economics
"Jamaicans on 'resilience' of country as it marks first Independence Day since Hurricane Melissa Charli XCX on lying, Love Island and life post-Brat Greg James shares his heartbreak after death of dog Barney",Economics
Why Love Island fans are choosing the US edition: 'They actually fancy each other' Mahrajan Festival is a 'milestone' for Arabic community Cynthia Erivo and Damson Idris among stars in Children of Blood and Bone trailer,Economics
Horror maestro Mike Flanagan joins Henry Cavill on Warhammer adaptations Love Island UK crowns winners of twist-filled series Stars and fans celebrate 'new Black Panther' David Jonsson,Economics
How rapper Aitch's sister inspired him to climb one of the world's toughest peaks EA FC gets a new age rating after loot box rule changes Love Island: All Stars winners Molly Smith and Tom Clare marry,Economics
'Devastated' Millie Bobby Brown leads Kaylee Hottle tributes YouTube star MrBeast marries Thea Booysen Godzilla vs Kong actress Kaylee Hottle dies in crash at 18,Economics
Laos methanol poisoning charges 'slap in face' for families Dean McCullough and Melvin Odoom among presenters to leave BBC Radio 1 in schedule shake-up Xbox workers stunned after jobs 'bloodbath',Economics
Amber Davies calls out audience member for filming Legally Blonde performance 'Gut-wrenching': UK gap year students lose thousands after tour operator closes Pitbull fans set Guinness World Record at BST Hyde Park show,Economics
Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
Sign in and follow what matters to you Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
"Summer sun and sports fixtures helped the UK economy grow between April and June, according to official data, but some economists warned the outlook for the rest of the year was weaker. The economy expanded by 0.4%, in line with market expectations but below a 0.6% increase in the first three months of this year. The Office for National Statistics (ONS) said growth had ""remained relatively robust"", with the UK ahead of other G7 countries for growth this year so far.",Economics
"Experts questioned whether this resilience would be maintained, however, given growth was fuelled by some temporary factors and energy prices could remain volatile if the Middle East conflict continues. The British economy is now 1.2% bigger than a year ago, the ONS said, despite fears that the Iran war, which started at the end of February, and politically uncertainty around Sir Keir Starmer's resignation as prime minister would hold back growth. Between April and June, sectors including computer programming, advertising and the pharmaceutical industry lifted growth. That was offset by falls in power generation and sewerage.",Economics
"The ONS said some businesses reported that ""good weather and sporting events may have had a positive effect"" in June, boosting month-on-month growth to 0.3%. The men's football World Cup, which kicked off mid-June, increased customers at hospitality venues showing the matches. June also saw several of summer's heatwaves. However, May's growth was revised down from 0.1% to zero growth.",Economics
"Fergus Jimenez-England, associate economist National Institute of Economic and Social Research said the UK economy had ""weathered the recent energy shock better than many feared"". Matt Harwood, director of Clarity Plastics, a plastic injection moulding company with sites in Birmingham and Telford, said that while the conflict had affected costs for things like raw materials, there had since been some stabilisation. ""When the Iran war started, availability went down and prices went up,"" he said. ""However, we're seeing that kind of level out now, and prices coming back to the kind of the normal levels again.",Economics
"""We've tried to stay resilient by carrying on investing. We're now installing a large 1500-ton machine... that's kind of giving us a competitive edge now as well."" But Jimenez-England said the recent pace of growth for the UK economy was unlikely to be sustained. ""Both inflation and unemployment are set to rise in the coming months while business sentiment remains fragile and could dampen further with ongoing energy price volatility.",Economics
"""The economy has shown welcome resilience so far, but we are not out of the woods yet."" On Wednesday, it emerged that Prime Minister Andy Burnham has been warned by the Treasury that the UK economy may grow by just by 0.9% this year and could be as low as 0.3% in 2027 if disruption in the Strait of Hormuz continues. Clarity Plastics' Matt Harwood says price volatility caused by the war has calmed",Economics
"Suren Thiru, chief economist at the Institute of Chartered Accountants in England and Wales, said that while households and firms had ""largely shrugged off the shockwaves from the Iran war"" much of the growth in the second quarter had been driven by ""temporary factors"". This was likely to be followed by a ""more painful deceleration"" in the next few months, he said, and would make Chancellor John Healey's first Budget in October ""more challenging"". Responding to the latest growth figures Healey said: ""I know people are worried about the impact of the conflict in the Middle East on their cost of living, which has been too high for too long and it has added pressure on British businesses.""",Economics
"He said the government's aim was to make the country ""more resilient"" and to ""drive growth in every postcode"". Shadow chancellor Sir Mel Stride said Labour had ""mismanaged the economy with their tax and borrowing spree, leaving it weak and vulnerable to the effects of shocks like the Iran War. ""Labour need to realise that it's their poor decisions which have stifled growth and made the cost of living worse,"" he said.",Economics
"Liberal Democrat Treasury Spokesperson Daisy Cooper MP said the figures were ""little to celebrate"". ""After Labour's two anti-growth budgets, Burnham needs to urgently get a grip on the economy and get Britain growing again, supercharging economic growth through a new trade deal with the EU, including joining the Single Market,"" she said. Watch our pick of standout clips from across the BBC",Economics
West Midlands fire crews tackle 'hotspots' as residents return to destroyed homes Video shows scale of devastation in Stourbridge Parliamentary investigation resumes into Farage hours after he wins Clacton by-election,Economics
"Afghan women tell BBC of beatings and buried dreams five years into Taliban rule Wildlife suffering in heatwaves, say experts I got an Â£89 refund â how to cancel and avoid unwanted subscriptions",Economics
Weekly quiz: What was used to smuggle Donald Trump off Air Force One? You got hold of eclipse glasses just in time - here's what to do with them now Couple tie the knot on 'magical' solar eclipse day,Economics
The Office's Lucy Davis 'overwhelmed' by kindness after cancer diagnosis Future Earth newsletter: Keep up with the latest climate news with Justin Rowlatt Philomena Cunk examines life and existence,Economics
"Listen back to Salonen orchestras playing 20th-century classics In 1940s Australia, a young orphan is brought to a remote orphanage How a murder case has been fuelling a culture war",Economics
Mother jailed for killing baby by burning her with a hairdryer Eurovision proposes new rules to tackle mass voting The Office's Lucy Davis 'overwhelmed' by kindness after cancer diagnosis,Economics
'Unprecedented' rain in Japan kills eight people Farage's by-election victory won't stop questions about finances Man died after being 'trampled' by cattle on estate,Economics
NHS service admits data breach due to pager use Killer who hid wife's body refused prison release I got an Â£89 refund â how to cancel and avoid unwanted subscriptions,Economics
'She was just Gaynor from up the road' - villagers ready for emotional Bonnie Tyler goodbye Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
"Former Chinese Premier Zhu Rongji, who spearheaded China's entry into global trade and laid the foundation for its explosive growth, has died at the age of 97. He served in the country's second-highest office from 1998-2003 and played a leading role in securing its entry into the World Trade Organization, opening Chinese factories to the international market and drawing foreign investment. He was one of the most important economic reformers who moved local tax powers to the central government, closed or privatised failing state firms and promoted home ownership.",Economics
"Many in China remember him as a tough and pragmatic leader who delivered double-digit growth and was rarely afraid to speak his mind. In 1998, he said China was facing ""many potential crises that could erupt at any time... ""Ordinary people are discontent about us in many ways. Especially, there is corruption among officials, the gulf between rich and poor and the way some local officials act like tyrants.""",Economics
"He labelled rogue bankers as ""half-wits"" and said the dams and flood dykes lining the Yangtze River were as ""flimsy and porous as tofu dregs"". Under his leadership, which helped stabilise the economy and tackle corruption, China began transforming into a manufacturing powerhouse, leaving behind its status as a Communist outsider. Though he faced criticism because those reforms also led to 30 million lay-offs over five years, and with huge growth came more inequality.",Economics
"Chinese state media describe Zhu Rongji's life as one of ""revolution, struggle and brilliance"". He was born in the central province of Hunan in 1928 and earned a degree in electrical engineering before joining the civil service. He joined the Communist Party in 1949, but was purged twice - first after criticising Mao Zedong's economic policies as ""irrational"" and being labelled a ""rightist"", and again during the Cultural Revolution.",Economics
"Zhu was brought back into the fold after Mao's death, and by 1991 had risen to the role of vice-premier in charge of China's economy. He took the role of premier seven years later. Zhu Rongji was a keen opponent of official corruption",Economics
"Zhu led China through difficult negotiations to enter the World Trade Organization in 2002. In state media his obituary described him as an ""outstanding member of the Communist Party of China and loyal Commnist fighter... an outstanding leader of the Party and state"". The Chinese sports brand taking on Nike and Adidas",Economics
Can Trump's tariffs break China's grip on manufacturing? Xi Jinping is worried about the economy - what do Chinese people think? Watch our pick of standout clips from across the BBC,Economics
West Midlands fire crews tackle 'hotspots' as residents return to destroyed homes Video shows scale of devastation in Stourbridge Parliamentary investigation resumes into Farage hours after he wins Clacton by-election,Economics
"Afghan women tell BBC of beatings and buried dreams five years into Taliban rule Wildlife suffering in heatwaves, say experts I got an Â£89 refund â how to cancel and avoid unwanted subscriptions",Economics
Weekly quiz: What was used to smuggle Donald Trump off Air Force One? You got hold of eclipse glasses just in time - here's what to do with them now Couple tie the knot on 'magical' solar eclipse day,Economics
The Office's Lucy Davis 'overwhelmed' by kindness after cancer diagnosis Future Earth newsletter: Keep up with the latest climate news with Justin Rowlatt Philomena Cunk examines life and existence,Economics
"Listen back to Salonen orchestras playing 20th-century classics In 1940s Australia, a young orphan is brought to a remote orphanage How a murder case has been fuelling a culture war",Economics
Mother jailed for killing baby by burning her with a hairdryer Eurovision proposes new rules to tackle mass voting The Office's Lucy Davis 'overwhelmed' by kindness after cancer diagnosis,Economics
'Unprecedented' rain in Japan kills eight people Farage's by-election victory won't stop questions about finances Man died after being 'trampled' by cattle on estate,Economics
NHS service admits data breach due to pager use Killer who hid wife's body refused prison release I got an Â£89 refund â how to cancel and avoid unwanted subscriptions,Economics
'She was just Gaynor from up the road' - villagers ready for emotional Bonnie Tyler goodbye Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
"China is the world's biggest producer of polysilicon, a key material used in making chips and solar panels US President Donald Trump signed an executive order on Thursday that imposes a 15% tariff on imported products made from polysilicon, a crucial material used in semiconductors and solar panels. The order also set minimum import prices on polysilicon and related products. It comes after a national security investigation into the production of the material overseas.",Economics
"The move is intended to help protect US manufacturers as they face increasing competition from China's chip industry - a key source of friction between the world's two largest economies. The Chinese embassy in Washington said the move ""seriously disrupts"" trade between the two countries and Beijing will act to protect its companies. Washington is ""abusing state power to go after Chinese businesses,"" the embassy said, adding that protectionism will not make the US more competitive.",Economics
"Trump said in the order, external that he had accepted recommendations by Secretary of Commerce Howard Lutnick to set minimum import prices as well as a 15% tariff on polysilicon and related imports. The measures are due to take effect in December. The US will also offer incentives to boost domestic production, it added.",Economics
